Data Source name,Date,Campaign Name,Campaign Effective Status,Ad Set Name,Ad Name,Country Funnel,Geo Location Segment,FB Spent Funnel (INR),Amount Spent (INR),Clicks (all),Impressions,Page Likes,Landing Page Views,Link Clicks,Adds to Cart,Checkouts Initiated,Adds of Payment Info,Purchases,Purchases Conversion Value (INR),Website Contacts,Messaging Conversations Started,Adds to Cart Conversion Value (INR),Checkouts Initiated Conversion Value (INR),Adds of Payment Info Conversion Value (INR),Row Count,CTR,CPM,ROI,CPC
BRAND A,2026-01-02,UNKNOWN,PAUSED,TOF | LAL 3-5% | SALES | WOMENS,CUSTOM | VIDEO 2 | EOSS | 15TH DEC 25 – COPY,INDIA,INDIA,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0
BRAND A,2026-01-03,GROWIFY | 11TH JUNE | TOF | ABO | INDIA | LAL 3% - 5% | SALES,PAUSED,TOF | LAL 3-5% | SALES | WOMENS,CUSTOM | VIDEO 2 | EOSS | 15TH DEC 25 – COPY,INDIA,INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0
UNKNOWN,2026-01-20,GROWIFY | 11TH JUNE | TOF | ABO | INDIA | LAL 3% - 5% | SALES,PAUSED,UNKNOWN,UNKNOWN,INDIA,INDIA,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0
BRAND A,2026-01-01,GROWIFY | 11TH JUNE | TOF | ABO | INDIA | LAL 3% - 5% | SALES,UNKNOWN,TOF | LAL 3-5% | SALES | WOMENS,CUSTOM | VIDEO 2 | EOSS | 15TH DEC 25 – COPY,INDIA,INDIA,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5964500.0,0.0,0.0,1.0,,0.0,0.0,0.0
BRAND A,2026-01-11,GROWIFY | 11TH JUNE | TOF | ABO | INDIA | LAL 3% - 5% | SALES,PAUSED,UNKNOWN,CUSTOM | VIDEO 2 | EOSS | 15TH DEC 25 – COPY,NAN,INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0
BRAND A,2026-01-21,GROWIFY | 16TH JUNE | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,CUSTOM | CAROUSEL | EOSS | 15TH DEC25 – COPY,INDIA,INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0
BRAND A,2026-01-22,GROWIFY | 16TH JUNE | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,CUSTOM | CAROUSEL | EOSS | 15TH DEC25 – COPY,INDIA,INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0
BRAND A,2026-01-18,GROWIFY | 16TH JUNE | TOF | INDIA | ASC | CAC | SALES,PAUSED,UNKNOWN,CUSTOM | CAROUSEL | EOSS | 15TH DEC25 – COPY,UNKNOWN,INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0
BRAND A,2026-01-19,GROWIFY | 16TH JUNE | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,CUSTOM | CAROUSEL | EOSS | 15TH DEC25 – COPY,INDIA,INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,,0.0,0.0,0.0
BRAND A,2026-01-17,GROWIFY | 16TH JUNE | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,CUSTOM | CAROUSEL | EOSS | 15TH DEC25 – COPY,INDIA,INDIA,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0
