Data Source name,Date,Currency,Sales Channel,Transaction Timestamp,Order Created At,Order Updated At,Order ID,Order Name,Country Funnel,Geo Location Segment,Billing Country,Billing Province,Billing City,Order Tags,Product ID,Product Title,Product Tags,Product Type,Variant Title,Gross Sales (INR),Net Sales (INR),Total Sales (INR),Orders,Returns (INR),Return Rate,Items Sold,Items Returned,Average Order Value (INR),New Customer Orders,Returning Customer Orders,Average Items Per Order,Discounts (INR),Row Count,SKU,Customer Sale Type,Customer ID,Shipping Country
Brand A,2026-08-01,INR,Online Store,2026-01-08 11:39:42+00:00,2026-01-08 11:39:43+00:00,2026-01-08T11:39:44Z,-6318230000000,,United Arab Emirates,Middle East,,Dubai,Dubai,,,, nan,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,,First-time,9052170000000.0,
Brand A,2026-01-13,INR,Online Store,2026-01-13 06:25:45+00:00,2026-01-13 06:25:47+00:00,2026-01-13T06:25:48Z,6324090000000,#1053,United States,USA,United States,New York,Richmond Hill,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,,,996568100000000.0,United States
Brand A,2026-01-19,INR,Online Store,2026-01-19 16:16:58+00:00,2026-01-19 16:16:59+00:00,2026-01-19T16:17:00Z,6333300000000,#1055,United States, nan,United States,California,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,1.0,,First-time,-997928800000000.0,United States
Brand A,2026-01-29,INR,Online Store,2026-01-29 15:56:31+00:00,2026-01-29 15:56:32+00:00,,6345630000000,#1057,United States,USA,United States,Texas,Flower Mound,,,,NAN,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,,First-time,1000255300000000.0,United States
Brand A,2026-01-21,INR,Online Store,,2026-01-21 17:02:59+00:00,2026-01-21T17:03:01Z,6335680000000,#1056,India,India,India,Kerala,Ernakulam,,,,,,,0.0,0.0,148.4614,0.0,0.0,0.0,,,,0.0,,,0.0,,,First-time,,India
Brand A,2026-04-01,INR,Online Store,2026-01-04 16:16:06+00:00,2026-01-04 16:16:08+00:00,2026-01-04T16:16:09Z,,#1049,India,India,India,Tamil Nadu,Chennai,,,,,,,0.0,0.0,150.260932,0.0,-0.0,0.0,0.0,,,0.0,,,0.0,0.0,,First-time,9046300000000.0,
Brand A,2026-01-06,INR,Online Store,2026-01-06 01:41:01+00:00,2026-01-06 01:41:03+00:00,2026-01-06T01:41:04Z,6315420000000,#1050,India,,India,,Mumbai,,,,,,,0.0,0.0,150.260932,0.0,0.0,0.0,0.0,,,0.0,,,0.0,1.0,,First-time,9048400000000.0,India
Brand A,2026-04-01,INR,Online Store,,2026-01-04 04:40:13+00:00,2026-01-04T04:40:15Z,6313290000000,#1048,Singapore,Rest of the World,Singapore,,Singapore,,,,,,,0.0,0.0,150.260932,0.0,0.0,0.0,0.0,,,0.0,,,0.0,1.0,,First-time,9045700000000.0,India
Brand A,2026-02-01,INR,Online Store,2026-01-01 22:53:41+00:00,2026-01-01 22:53:42+00:00,2026-01-01T22:53:43Z,,#1046,United States,USA,United States,New Jersey,Middletown,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,1.0,,First-time,994662900000000.0,India
Brand A,2026-08-01,INR,Online Store,2026-01-08 00:10:11+00:00,, 2026-01-08t00:10:13z,6317670000000,#1051,Canada,Rest of the World,Canada,Alberta,Beaumont,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,87.0,,First-time,8836460000000.0,Canada
Brand A,2026-01-01,INR,Online Store,2026-01-01 05:12:25+00:00,2026-01-01 05:12:27+00:00,2026-01-01T05:12:28Z,,#1045,,Rest of the World,Singapore,,Singapore,,,,,,,0.0,0.0,2699.298182,,0.0,0.0,0.0,,0.0,0.0,,,0.0,87.0,,First-time,9041380000000.0,Singapore
Brand A,2026-03-01, inr,Online Store,2026-01-03 15:09:11+00:00,2026-01-03 15:09:12+00:00,2026-01-03T15:09:13Z,6312540000000,#1047,Spain,Rest of the World,Spain,Vizcaya,Santurtzi,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,87.0,,First-time,,Spain
Brand A,2026-01-15,INR,Online Store,2026-01-15 04:17:04+00:00,,2026-01-15T04:17:07Z,6326910000000, #1054,United States,USA,United States,Illinois,Naperville,,,,,,,0.0,0.0,2699.298182,0.0,0.0,0.0,0.0,,,0.0,,,0.0,1.0,,First-time,9062680000000.0,United States
Brand A,2026-01-15,INR,Online Store,2026-01-15 04:17:04+00:00,2026-01-15 04:17:05+00:00,2026-01-15T04:17:07Z,6326910000000,#1054,,USA,United States,Illinois,Naperville,,8835880000000.0,Daphne Stole,"Category_Stole, Collection_Lumiere, Tag_NewArrival",Stole,S,2879.251395,2879.251395,2879.251395,0.0,0.0,,1.0,,,1.0,,1.0,0.0,1.0,DAPHNESTOLE-BG,First-time,0.0,United States
Brand A,2026-01-19,INR,Online Store,2026-01-19 16:16:58+00:00,2026-01-19 16:16:59+00:00,2026-01-19T16:17:00Z,6333300000000,#1055,United States,USA,United States,California,Oakland,,8725100000000.0,Amelia Stole,"eoss-25, Express shipping, Stoles",Stole,One size,3149.181213,3149.181213,,-0.0,0.0,,1.0,,,0.0,,,0.0,1.0,,First-time,9072080000000.0,United States
 brand a,2026-01-01,INR,Online Store,2026-01-01 05:12:25+00:00,2026-01-01 05:12:27+00:00, 2026-01-01t05:12:28z,6309850000000,,Singapore,Rest of the World,Singapore,,Singapore,,,Chérie Kaftan,"Co-ord, eoss-25, Floral, Linen, Top, Tunic",Kaftan,S / Kaftan & Pants,0.0,0.0,3940.975346,1.0,0.0,0.0,,,3940.975346,1.0,,1.0,0.0,1.0,CHERIEKAFTAN-S & EASYIV-S,First-time,9041380000000.0,Singapore
Brand A,2026-08-01,INR,Online Store,2026-01-08 00:10:11+00:00,2026-01-08 00:10:12+00:00,,6317670000000,#1051,,Rest of the World,Canada,Alberta,,,8725100000000.0,Savannah Shirt,"eoss-25, Shirt, Top, Tunic",Boyfriend Shirt,XL,4246.895807,4246.895807,,1.0,0.0,,1.0,,492639.913612,1.0,,1.0,0.0,1.0,,First-time,8836460000000.0,Canada
Brand A,2026-08-01,INR,,2026-01-08 00:10:11+00:00,2026-01-08 00:10:12+00:00,2026-01-08T00:10:13Z,827614770000000,#1051,Canada,,Canada,Alberta,Beaumont,NAN,8725100000000.0,Marigold Tunic," co-ord, eoss-25, express shipping, kurta set, tunic",Co-Ord,XL,4750.764801,4750.764801,4750.764801,0.0,0.0,,1.0,,,0.0,,,0.0,1.0, nan,First-time,8836460000000.0,Canada
Brand A,2026-06-01,INR,Online Store,2026-01-06 01:41:01+00:00,,2026-01-06T01:41:04Z,6315420000000,#1050,India,India,India,MAHARASHTRA,Mumbai,,8725100000000.0,,"Co-ord, eoss-25, Express shipping, Kurta Set, Tunic",Co-Ord,M,4750.764801,4750.764801,4750.764801,0.0,0.0,,1.0,,,,,,0.0,1.0,,First-time,9048400000000.0,India
 brand a,2026-01-13,INR,Online Store,2026-01-13 06:25:45+00:00,2026-01-13 06:25:47+00:00,2026-01-13T06:25:48Z,6324090000000,#1053,United States,,United States,New York,Richmond Hill,,8725100000000.0,Rosita Tunic,"Co-ord, eoss-25, Express shipping, Kurta Set, Tunic",Co-Ord,XL,4750.764801,4750.764801,551088.716916,0.0,0.0,,1.0,,,0.0,,,0.0,1.0,,First-time,,United States
 brand a,2026-02-01,INR,Online Store,2026-01-01 22:53:41+00:00,2026-01-01 22:53:42+00:00,2026-01-01T22:53:43Z,826688600000000,#1046,United States,USA,United States,New Jersey,Middletown,,8725100000000.0,Amelia Short Kurta Set," co-ord, eoss-25, express shipping, kurta set, tunic",Co-Ord,,0.0,0.0,6478.315638,1.0,0.0,,1.0,,6478.315638,90.0,,1.0,0.0,1.0,, first-time,9042390000000.0,India
Brand A,2026-08-01,,Online Store,2026-01-08 11:39:42+00:00,2026-01-08 11:39:43+00:00,2026-01-08T11:39:44Z,6318230000000,#1052,United Arab Emirates,MIDDLE EAST,United Arab Emirates,Dubai,Dubai,,8789250000000.0,Wildflower Kurta Set,"COLLECTION_ET SI, EXPRESS SHIPPING",Kurta Set,XL,6478.315638,6478.315638,6478.315638,144.0,0.0,,55.0,,6478.315638,1.0,,0.0,0.0,1.0,WILD-LMN,First-time,9052170000000.0,United Arab Emirates
Brand A,2026-01-08, inr,Online Store,2026-01-08 11:39:42+00:00,2026-01-08 11:39:43+00:00,2026-01-08T11:39:44Z,6318230000000,#1052,United Arab Emirates,Middle East,United Arab Emirates,Dubai,Dubai,,8724450000000.0,Rosita Kurta Set,,Co-Ord,XL,6766.240777,6766.240777,6766.240777,0.0,0.0,,1.0,,,0.0,,,0.0,1.0,,First-time,9052170000000.0,United Arab Emirates
Brand A,2026-08-01, inr,Online Store,2026-01-08 11:39:42+00:00,2026-01-08 11:39:43+00:00,2026-01-08T11:39:44Z,6318230000000,#1052, united arab emirates,Middle East,United Arab Emirates,Dubai,Dubai,,8724460000000.0,Water Lily Kurta,"Co-ord, eoss-25, Kurta, Kurta Set",Kurta,XL / Kurta + Pants,7126.147202,7126.147202,7126.147202,,0.0,,1.0,,,0.0,,,0.0,1.0,WLKURTA-PRW-XL + WLPANT-PRW-XL,First-time,9052170000000.0,
